,Smiles,sdg
206,CCCCCCCCCCCCCCO,416.0
207,C=CCCCCCCCCCCCC,370.0
208,CCCCCCCCCCCCCO,394.15
209,CCCCCCCCCCCC(C)CO,425.0
210,C=CCCCCCCCCCCC,355.0
211,CCCCCCCCCCCS,381.0
212,CCCCCCCCCCCO,388.0
213,CCCCCCCCCC(C)CO,394.0
214,C=CCCCCCCCCC,327.0
215,CCC(C)OC(C)CC,284.0
216,CC(O)C(C)O,361.0
217,CC1Cc2ccccc2S1,372.0
218,c1ccc2c(c1)CCS2,365.0
219,C/C=C/C=C/C,259.0
220,C/C=C\C=C\C,259.0
221,CC(C)=CC=C(C)C,297.0
222,CC(O)CC(C)O,370.0
223,CC(O)CC(C)(C)O,370.0
224,CC(=O)CC(C)=O,304.0
225,COCCOCCOCCOCCOC,411.0
226,COCCOCCOCCOC,371.0
227,C1=CCOC1,255.0
228,O=C1C=CC(=O)O1,355.0
229,CC1=CC(=O)OC1=O,373.0
230,CCC(C)N,249.0
231,CCC(C)(C)N,257.0
232,CCOC(=O)/C=C\C(=O)OCC,369.0
233,CCC(C)S,261.0
234,CCC(C)O,293.0
235,CCC(C)(C)O,293.15
236,CC(C)C(C)O,299.15
237,CCC(C)=O,263.0
238,CC(=O)C(C)(C)C,277.0
239,CC(=O)C(C)C,273.0
240,CC=CCOC(C)=O,305.0
241,C/C=C\C=O,274.66
242,C/C(Cl)=C/CCl,306.0
243,ClC/C=C/CCl,319.0
244,ClC/C=C\CCl,326.0
245,CC(C)=C(C)C,250.0
246,CC=C(C)C,226.0
247,OC/C=C/CO,404.0
248,OC/C=C\CO,402.0
249,N#C/C=C\C#N,389.0
250,C=CCOC(=O)/C=C\C(=O)OCC=C,392.0
251,CCCCOC(=O)/C=C\C(=O)OCCCC,414.0
252,COC(=O)/C=C\C(=O)OC,364.0
253,CCCOC(=O)/C=C\C(=O)OCCC,391.0
254,C/C=C/C#N,297.0
255,C/C=C\C#N,285.0
256,C/C=C/C(=O)O,362.0
257,C/C=C\C(=O)O,350.0
258,OCC#CCO,417.0
259,O=C1C=CCCC1,329.0
260,CC1=CC(=O)CC(C)(C)C1,344.0
261,C/C=C\CCCCCCC,320.0
262,C/C=C/CCCCCCC,319.0
263,C/C=C/CCCCCCCCC,351.0
264,C/C=C\CCCCCCCCC,351.0
265,CCc1c(C)cccc1C,332.0
266,O=Cc1ccco1,332.0
267,OCc1ccco1,346.0
268,CCCCCC(C)O,332.15
269,CCCCCC(C)=O,311.0
270,C/C=C/CCCC,272.0
271,C/C=C\CCCC,266.0
272,CCCCC(C)O,319.26
273,CCCCC(C)=O,294.0
274,CC(=O)CCC(C)C,304.0
275,CCCC=C(C=O)CC,326.0
276,C/C=C/CCC,246.0
277,C/C=C\CCC,247.0
278,CC#CCCC,258.0
279,CCC(=O)C(C)C,286.0
280,CCCCCCCC(C)O,355.37
281,CCCCCCCC(C)=O,340.0
282,CCCCCCC(C)O,344.26
283,CCCCCCC(C)=O,326.0
284,C/C=C/CCCCC,294.261
285,C/C=C\CCCCC,294.0
286,C=C1CC(=O)O1,308.0
287,C1COC(C2CCCO2)C1,362.0
288,CCCC(C)S,279.0
289,CC(C)(C)CC(C)(C)S,301.0
290,CCCC(C)O,307.0
291,CC(C)CC(C)O,304.0
292,CCCC(C)=O,278.0
293,CCC(C)C(C)=O,286.0
